0,1,2,3,4
India,"1,425,775,850",17.6%,14 Apr 2023,UN projection[90]
China,"1,409,670,000",17.4%,17 Jan 2024,National annual estimate[91]
United States,"336,769,645",4.15%,7 Aug 2024,National population clock[92]
Indonesia,"278,696,200",3.43%,1 Jul 2023,National annual estimate[93]
Pakistan,"229,488,994",2.83%,1 Jul 2022,UN projection[94]
Nigeria,"216,746,934",2.67%,1 Jul 2022,UN projection[94]
Brazil,"218,007,126",2.68%,7 Aug 2024,National population clock[95]
Bangladesh,"168,220,000",2.07%,1 Jul 2020,Annual Population Estimate[96]
Russia,"147,190,000",1.81%,1 Oct 2021,2021 preliminary census results[97]
Mexico,"128,271,248",1.58%,31 Mar 2022,
